TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DT,Lithology,Well
685.73,410.0155,15.3394,0.074,0.0292,0.8982,7.3602,109.2332,2.7152,0.0272,20000.0,11.0496,3.3591,64.3846,FILITO,3_BRSA_778_SE
685.74,402.9746,15.251,0.074,0.0288,0.9046,7.363,109.361,2.7149,0.0272,20000.0,11.0222,3.3557,64.3412,FILITO,3_BRSA_778_SE
685.75,391.2626,15.0146,0.0788,0.028,0.9122,7.4113,109.4889,2.7146,0.0272,20000.0,10.9947,3.3524,64.2977,FILITO,3_BRSA_778_SE
685.76,372.2334,14.6802,0.0794,0.0288,0.9188,7.3188,109.6168,2.7143,0.0272,20000.0,10.9672,3.3491,64.2542,FILITO,3_BRSA_778_SE
685.77,389.5632,14.8816,0.0794,0.0294,0.9134,7.2771,109.7446,2.714,0.0272,20000.0,10.9398,3.3457,64.2108,FILITO,3_BRSA_778_SE
685.78,411.555,15.2014,0.0776,0.0303,0.9008,7.2046,109.8725,2.7137,0.0271,20000.0,10.9123,3.3424,64.1673,FILITO,3_BRSA_778_SE
685.79,420.0566,15.3467,0.0776,0.0318,0.8857,7.0937,110.0003,2.7134,0.0271,20000.0,10.8849,3.339,64.1239,FILITO,3_BRSA_778_SE
685.8,414.2734,15.1748,0.0756,0.032,0.8728,7.0694,110.1282,2.7131,0.0271,20000.0,10.8574,3.3357,64.0804,FILITO,3_BRSA_778_SE
685.81,407.5368,15.0334,0.0769,0.0307,0.8518,7.1588,110.5942,2.7127,0.027,20000.0,10.9038,3.3351,64.0774,FILITO,3_BRSA_778_SE
685.82,407.5395,15.1014,0.0767,0.0306,0.8272,7.1673,111.0602,2.7124,0.0269,20000.0,10.9503,3.3346,64.0744,FILITO,3_BRSA_778_SE
685.83,396.2992,15.101,0.0786,0.0302,0.8141,7.2152,111.5262,2.712,0.0268,20000.0,10.9967,3.334,64.0714,FILITO,3_BRSA_778_SE
685.84,423.8598,15.5907,0.0766,0.029,0.8006,7.2986,111.9922,2.7117,0.0267,20000.0,11.0432,3.3334,64.0684,FILITO,3_BRSA_778_SE
685.85,448.0116,16.162,0.071,0.0291,0.8096,7.3004,112.4583,2.7113,0.0266,20000.0,11.0896,3.3328,64.0653,FILITO,3_BRSA_778_SE
685.86,492.9575,16.9704,0.0675,0.0283,0.8159,7.4088,112.9243,2.7109,0.0266,20000.0,11.136,3.3323,64.0623,FILITO,3_BRSA_778_SE
685.87,559.3502,17.955,0.0624,0.0278,0.8076,7.4756,113.3903,2.7106,0.0265,20000.0,11.1825,3.3317,64.0593,FILITO,3_BRSA_778_SE
685.88,576.9066,18.1465,0.0614,0.0279,0.8124,7.4558,113.8563,2.7102,0.0264,20000.0,11.2289,3.3311,64.0563,FILITO,3_BRSA_778_SE
685.89,566.6613,17.9733,0.0604,0.0289,0.8266,7.4124,114.3223,2.7099,0.0263,20000.0,11.2754,3.3306,64.0533,FILITO,3_BRSA_778_SE
685.9,561.7462,17.7796,0.0639,0.0279,0.8309,7.4985,114.7883,2.7095,0.0262,20000.0,11.3218,3.33,64.0503,FILITO,3_BRSA_778_SE
685.91,580.0973,18.1069,0.06,0.029,0.8282,7.4094,115.747,2.7091,0.0256,20000.0,11.3949,3.334,64.1069,FILITO,3_BRSA_778_SE
