TDEP,contrast,dissimilarity,homogeneity,energy,correlation,entropy,GR,RHOB,DRHO,HDRS,NPHI,PE,DTC,Lithology,Well
54.99,0.0,0.0,1.0,1.0,1.0,0.0,64.0673,2.3605,-0.4071,49.2016,0.4723,26.7455,56.0539,CALCILUTITO,3_BRSA_889_SE
55.0,0.0,0.0,1.0,1.0,1.0,0.0,62.1725,2.3605,-0.4071,50.1828,0.4682,26.7455,56.0251,CALCILUTITO,3_BRSA_889_SE
55.01,0.0,0.0,1.0,1.0,1.0,0.0,61.1098,2.3605,-0.4071,50.9178,0.4618,26.7455,56.0473,CALCILUTITO,3_BRSA_889_SE
55.02,0.0,0.0,1.0,1.0,1.0,0.0,60.0472,2.3605,-0.4071,51.6528,0.4553,26.7455,56.0695,CALCILUTITO,3_BRSA_889_SE
55.03,0.0,0.0,1.0,1.0,1.0,0.0,58.9845,2.3605,-0.4071,52.3877,0.4488,26.7455,56.0917,CALCILUTITO,3_BRSA_889_SE
55.04,0.0,0.0,1.0,1.0,1.0,0.0,57.9218,2.3605,-0.4071,53.1227,0.4423,26.7455,56.1139,CALCILUTITO,3_BRSA_889_SE
55.05,0.0,0.0,1.0,1.0,1.0,0.0,56.8592,2.3605,-0.4071,53.8577,0.4358,26.7455,56.1361,CALCILUTITO,3_BRSA_889_SE
55.06,0.0,0.0,1.0,1.0,1.0,0.0,55.7965,2.3605,-0.4071,54.5927,0.4293,26.7455,56.1583,CALCILUTITO,3_BRSA_889_SE
55.07,0.0,0.0,1.0,1.0,1.0,0.0,54.7339,2.3605,-0.4071,55.3277,0.4229,26.7454,56.1805,CALCILUTITO,3_BRSA_889_SE
55.08,0.0,0.0,1.0,1.0,1.0,0.0,53.6712,2.3605,-0.4071,56.0626,0.4164,26.7454,56.2027,CALCILUTITO,3_BRSA_889_SE
55.09,0.0,0.0,1.0,1.0,1.0,0.0,52.6085,2.3605,-0.4071,56.7976,0.4099,26.7454,56.2248,CALCILUTITO,3_BRSA_889_SE
55.1,0.0,0.0,1.0,1.0,1.0,0.0,51.5459,2.3605,-0.4071,57.5326,0.4034,26.7454,56.247,CALCILUTITO,3_BRSA_889_SE
55.11,0.0,0.0,1.0,1.0,1.0,0.0,50.6636,2.3605,-0.4071,58.4673,0.3975,26.7454,56.3073,CALCILUTITO,3_BRSA_889_SE
55.12,0.0,0.0,1.0,1.0,1.0,0.0,49.7814,2.3605,-0.4071,59.402,0.3915,26.7453,56.3676,CALCILUTITO,3_BRSA_889_SE
55.13,0.0,0.0,1.0,1.0,1.0,0.0,48.8992,2.3606,-0.4071,60.3367,0.3856,26.7453,56.4279,CALCILUTITO,3_BRSA_889_SE
55.14,0.0,0.0,1.0,1.0,1.0,0.0,48.017,2.3606,-0.4071,61.2714,0.3796,26.7453,56.4882,CALCILUTITO,3_BRSA_889_SE
55.15,0.0,0.0,1.0,1.0,1.0,0.0,47.1348,2.3606,-0.4071,62.2061,0.3737,26.7452,56.5485,CALCILUTITO,3_BRSA_889_SE
55.16,0.0,0.0,1.0,1.0,1.0,0.0,46.2526,2.3606,-0.4071,63.1409,0.3677,26.7452,56.6088,CALCILUTITO,3_BRSA_889_SE
55.17,0.0,0.0,1.0,1.0,1.0,0.0,45.3704,2.3606,-0.4071,64.0756,0.3618,26.7452,56.6691,CALCILUTITO,3_BRSA_889_SE
55.18,0.0,0.0,1.0,1.0,1.0,0.0,44.4882,2.3606,-0.4071,65.0103,0.3558,26.7451,56.7294,CALCILUTITO,3_BRSA_889_SE
55.19,0.0,0.0,1.0,1.0,1.0,0.0,43.606,2.3606,-0.4071,65.945,0.3499,26.7451,56.7897,CALCILUTITO,3_BRSA_889_SE
55.2,0.0,0.0,1.0,1.0,1.0,0.0,42.7238,2.3606,-0.4071,66.8797,0.3439,26.7451,56.85,CALCILUTITO,3_BRSA_889_SE
55.21,0.0,0.0,1.0,1.0,1.0,0.0,42.2233,2.3606,-0.4071,69.5126,0.3392,26.745,56.9172,CALCILUTITO,3_BRSA_889_SE
55.22,0.0,0.0,1.0,1.0,1.0,0.0,41.7229,2.3606,-0.4071,72.1456,0.3345,26.7449,56.9844,CALCILUTITO,3_BRSA_889_SE
55.23,0.0,0.0,1.0,1.0,1.0,0.0,41.2225,2.3606,-0.4071,74.7785,0.3298,26.7448,57.0516,CALCILUTITO,3_BRSA_889_SE
55.24,0.0,0.0,1.0,1.0,1.0,0.0,40.7221,2.3606,-0.4071,77.4115,0.325,26.7447,57.1187,CALCILUTITO,3_BRSA_889_SE
55.25,0.0,0.0,1.0,1.0,1.0,0.0,40.2216,2.3606,-0.4071,80.0444,0.3203,26.7446,57.1859,CALCILUTITO,3_BRSA_889_SE
55.26,0.0,0.0,1.0,1.0,1.0,0.0,39.7212,2.3607,-0.4071,82.6774,0.3156,26.7445,57.2531,CALCILUTITO,3_BRSA_889_SE
55.27,0.0,0.0,1.0,1.0,1.0,0.0,39.2208,2.3607,-0.4071,85.3104,0.3109,26.7444,57.3203,CALCILUTITO,3_BRSA_889_SE
55.28,0.0,0.0,1.0,1.0,1.0,0.0,38.7204,2.3607,-0.4071,87.9433,0.3062,26.7444,57.3875,CALCILUTITO,3_BRSA_889_SE
55.29,0.0,0.0,1.0,1.0,1.0,0.0,38.2199,2.3607,-0.4071,90.5763,0.3015,26.7443,57.4546,CALCILUTITO,3_BRSA_889_SE
55.3,0.0,0.0,1.0,1.0,1.0,0.0,37.7195,2.3607,-0.4071,93.2093,0.2967,26.7442,57.5218,CALCILUTITO,3_BRSA_889_SE
55.31,0.0,0.0,1.0,1.0,1.0,0.0,37.8273,2.3607,-0.4071,95.0177,0.2972,26.7441,57.4652,CALCILUTITO,3_BRSA_889_SE
55.32,0.0,0.0,1.0,1.0,1.0,0.0,37.935,2.3607,-0.4071,96.8262,0.2977,26.7441,57.4085,CALCILUTITO,3_BRSA_889_SE
55.33,0.0,0.0,1.0,1.0,1.0,0.0,38.0428,2.3607,-0.4071,98.6346,0.2981,26.7441,57.3518,CALCILUTITO,3_BRSA_889_SE
55.34,0.0,0.0,1.0,1.0,1.0,0.0,38.1506,2.3607,-0.4071,100.443,0.2986,26.7441,57.2952,CALCILUTITO,3_BRSA_889_SE
55.35,0.0,0.0,1.0,1.0,1.0,0.0,38.2584,2.3607,-0.4071,102.2514,0.2991,26.744,57.2385,CALCILUTITO,3_BRSA_889_SE
55.36,0.0,0.0,1.0,1.0,1.0,0.0,38.3661,2.3607,-0.4071,104.0599,0.2995,26.744,57.1819,CALCILUTITO,3_BRSA_889_SE
