TDEP,LITOLOGIA
117.9,ARENITO
118.0,ARENITO
118.1,ARENITO
118.2,ARENITO
118.3,ARENITO
118.4,ARENITO
118.5,ARENITO
118.6,ARENITO
118.7,ARENITO
118.8,ARENITO
118.9,ARENITO
119.0,ARENITO
119.1,ARENITO
119.2,ARENITO
119.3,ARENITO
119.4,ARENITO
119.5,ARENITO
119.6,ARENITO
119.7,ARENITO
119.8,ARENITO
119.9,ARENITO
120.0,ARENITO
120.1,CALCARENITO
120.2,CALCARENITO
120.3,CALCARENITO
120.4,CALCARENITO
120.5,CALCARENITO
120.6,CALCARENITO
120.7,CALCARENITO
120.8,CALCARENITO
120.9,CALCARENITO
121.0,CALCARENITO
121.1,CALCARENITO
121.2,CALCARENITO
121.3,CALCARENITO
121.4,CALCARENITO
121.5,CALCARENITO
121.6,CALCARENITO
121.7,CALCARENITO
121.8,CALCARENITO
121.9,CALCARENITO
122.0,CALCARENITO
122.1,CALCARENITO
122.2,CALCARENITO
122.3,CALCARENITO
122.4,CALCARENITO
122.5,CALCARENITO
122.6,CALCARENITO
122.7,CALCARENITO
122.8,CALCARENITO
122.9,CALCARENITO
123.0,CALCARENITO
123.1,CALCARENITO
123.2,CALCARENITO
123.3,CALCARENITO
123.4,CALCARENITO
123.5,CALCARENITO
123.6,CALCARENITO
123.7,CALCARENITO
123.8,CALCARENITO
123.9,CALCARENITO
124.0,CALCARENITO
124.1,CALCARENITO
124.2,CALCARENITO
124.3,CALCARENITO
124.4,CALCARENITO
124.5,CALCARENITO
124.6,CALCARENITO
124.7,CALCARENITO
124.8,CALCARENITO
124.9,CALCARENITO
125.0,CALCARENITO
125.1,CALCARENITO
125.2,CALCARENITO
125.3,CALCARENITO
125.4,CALCARENITO
125.5,CALCARENITO
125.6,CALCARENITO
125.7,CALCARENITO
125.8,CALCARENITO
125.9,CALCARENITO
126.0,CALCARENITO
126.1,CALCARENITO
126.2,CALCARENITO
126.3,CALCARENITO
126.4,CALCARENITO
126.5,CALCARENITO
126.6,ARENITO
126.7,ARENITO
126.8,ARENITO
126.9,ARENITO
127.0,ARENITO
127.1,ARENITO
127.2,ARENITO
127.3,ARENITO
127.4,ARENITO
127.5,ARENITO
127.6,ARENITO
127.7,ARENITO
127.8,ARENITO
127.9,ARENITO
128.0,ARENITO
128.1,ARENITO
128.2,ARENITO
128.3,ARENITO
128.4,ARENITO
128.5,ARENITO
128.6,ARENITO
128.7,ARENITO
128.8,ARENITO
128.9,ARENITO
129.0,CALCARENITO
129.1,CALCARENITO
129.2,CALCARENITO
129.3,CALCARENITO
129.4,CALCARENITO
129.5,CALCARENITO
129.6,CALCARENITO
129.7,CALCARENITO
129.8,CALCARENITO
129.9,CALCARENITO
130.0,CALCARENITO
130.1,CALCARENITO
130.2,CALCARENITO
130.3,CALCARENITO
130.4,CALCARENITO
130.5,CALCARENITO
130.6,CALCARENITO
130.7,CALCARENITO
130.8,CALCARENITO
130.9,CALCARENITO
131.0,CALCARENITO
131.1,ARENITO
131.2,ARENITO
131.3,ARENITO
131.4,ARENITO
131.5,ARENITO
131.6,CALCARENITO
131.7,CALCARENITO
131.8,CALCARENITO
131.9,CALCARENITO
132.0,CALCARENITO
132.1,CALCARENITO
132.2,CALCARENITO
132.3,CALCARENITO
132.4,CALCARENITO
132.5,CALCARENITO
132.6,CALCARENITO
132.7,CALCARENITO
132.8,CALCARENITO
132.9,CALCARENITO
133.0,CALCARENITO
133.1,CALCARENITO
133.2,CALCARENITO
133.3,CALCARENITO
133.4,CALCARENITO
133.5,ARENITO
133.6,ARENITO
133.7,ARENITO
133.8,ARENITO
133.9,ARENITO
134.0,CALCARENITO
134.1,CALCARENITO
134.2,CALCARENITO
134.3,CALCARENITO
134.4,CALCARENITO
134.5,CALCARENITO
134.6,CALCARENITO
134.7,CALCARENITO
134.8,CALCARENITO
134.9,CALCARENITO
135.0,ARENITO
135.1,ARENITO
135.2,ARENITO
135.3,ARENITO
135.4,ARENITO
135.5,ARENITO
135.6,ARENITO
135.7,ARENITO
135.8,ARENITO
135.9,ARENITO
136.0,ARENITO
136.1,CALCARENITO
136.2,CALCARENITO
136.3,CALCARENITO
136.4,CALCARENITO
136.5,CALCARENITO
136.6,CALCARENITO
136.7,CALCARENITO
136.8,CALCARENITO
136.9,CALCARENITO
137.0,CALCARENITO
137.1,ARENITO
137.2,ARENITO
137.3,ARENITO
137.4,ARENITO
137.5,ARENITO
137.6,ARENITO
137.7,ARENITO
137.8,ARENITO
137.9,ARENITO
138.0,ARENITO
138.1,ARENITO
138.2,ARENITO
138.3,ARENITO
138.4,ARENITO
138.5,CALCARENITO
138.6,CALCARENITO
138.7,CALCARENITO
138.8,CALCARENITO
138.9,CALCARENITO
139.0,CALCARENITO
139.1,CALCARENITO
139.2,CALCARENITO
139.3,CALCARENITO
139.4,CALCARENITO
139.5,CALCARENITO
139.6,CALCARENITO
